iter	Logloss	Accuracy
0	0.6838699108	0.7941507312
1	0.6753069846	0.7941507312
2	0.666490729	0.8087739033
3	0.6580711128	0.8076490439
4	0.6509879809	0.8087739033
5	0.6430104553	0.8087739033
6	0.6363867332	0.8076490439
7	0.6298197272	0.8076490439
8	0.6229042209	0.8087739033
9	0.6164720993	0.8087739033
10	0.609054114	0.8256467942
11	0.603150448	0.8233970754
12	0.5977757826	0.8245219348
13	0.5920107455	0.8267716535
14	0.5865859681	0.8267716535
15	0.5815069366	0.8155230596
16	0.576600839	0.8155230596
17	0.5734911817	0.8143982002
18	0.5683202169	0.8143982002
19	0.5638584284	0.8188976378
20	0.5592792149	0.8188976378
21	0.5544848933	0.8211473566
22	0.5505634719	0.8211473566
23	0.5470343188	0.8211473566
24	0.5436446239	0.8211473566
25	0.5413744918	0.8188976378
26	0.5378987174	0.8200224972
27	0.5339815242	0.8211473566
28	0.5305839703	0.8211473566
29	0.5272825283	0.8177727784
30	0.5244277269	0.8188976378
31	0.5216160633	0.8177727784
32	0.5188993058	0.8177727784
33	0.5161662632	0.8177727784
34	0.5135127852	0.8188976378
35	0.5107473461	0.8211473566
36	0.5082766805	0.8200224972
37	0.5057317085	0.8211473566
38	0.5035363314	0.8188976378
39	0.5011042861	0.8177727784
40	0.499072213	0.8188976378
41	0.4970379892	0.8188976378
42	0.4957450022	0.8177727784
43	0.493903439	0.8177727784
44	0.4916169978	0.8188976378
45	0.4895013825	0.8177727784
46	0.4874417372	0.8177727784
47	0.485624823	0.8177727784
48	0.4838423544	0.8188976378
49	0.4818193249	0.8177727784
50	0.4809597627	0.8188976378
51	0.4786186496	0.8177727784
52	0.476980759	0.8177727784
53	0.4762164698	0.816647919
54	0.4754783375	0.816647919
55	0.4750292866	0.816647919
56	0.4741225195	0.8155230596
57	0.4735343736	0.816647919
58	0.4721898836	0.8155230596
59	0.4717742122	0.8177727784
60	0.4706192515	0.8155230596
61	0.4700378984	0.816647919
62	0.4684498429	0.8177727784
63	0.4678409184	0.8177727784
64	0.4675245395	0.8177727784
65	0.4669666546	0.8200224972
66	0.4655643279	0.816647919
67	0.4644975312	0.8200224972
68	0.4636967253	0.8177727784
69	0.4631794747	0.8177727784
70	0.4624822292	0.8188976378
71	0.4614035783	0.816647919
72	0.4606145014	0.8177727784
73	0.460187898	0.8188976378
74	0.4596431211	0.8200224972
75	0.4587324655	0.8200224972
76	0.4582978133	0.8188976378
77	0.4571456932	0.8200224972
78	0.4569865558	0.8200224972
79	0.4566104847	0.8200224972
80	0.4559302911	0.8200224972
81	0.4555124921	0.8188976378
82	0.4549229218	0.8188976378
83	0.4538800222	0.8200224972
84	0.4534617496	0.8200224972
85	0.4527935259	0.8188976378
86	0.4522513005	0.8245219348
87	0.4515454157	0.8256467942
88	0.4505666802	0.8256467942
89	0.4494474688	0.8267716535
90	0.4483523871	0.8256467942
91	0.4472228655	0.8267716535
92	0.4468798821	0.8267716535
93	0.4464337684	0.8256467942
94	0.446151629	0.8256467942
95	0.4455412174	0.8245219348
96	0.4450526072	0.8256467942
97	0.4447563845	0.8233970754
98	0.444426252	0.8233970754
99	0.4440968203	0.8233970754
100	0.4426877241	0.8245219348
101	0.4420750264	0.8245219348
102	0.4411487647	0.8233970754
103	0.4402681537	0.8233970754
104	0.439815529	0.8233970754
105	0.4391791926	0.8233970754
106	0.4386265285	0.8233970754
107	0.4383917616	0.8233970754
108	0.4380278493	0.8233970754
109	0.4374201472	0.8233970754
110	0.4371345838	0.8233970754
111	0.4369476097	0.8233970754
112	0.4364518316	0.8233970754
113	0.4360009642	0.8233970754
114	0.435270897	0.8233970754
115	0.4345428941	0.8233970754
116	0.4339687975	0.8233970754
117	0.4337312178	0.8233970754
118	0.4334813345	0.8233970754
119	0.4327463155	0.8233970754
120	0.4322860934	0.8233970754
121	0.4318595487	0.8233970754
122	0.4318424964	0.8233970754
123	0.4315105276	0.8233970754
124	0.4308849262	0.8233970754
125	0.4307526934	0.8233970754
126	0.4305611477	0.8233970754
127	0.430247771	0.8211473566
128	0.4300774979	0.822272216
129	0.4298436193	0.8211473566
130	0.4294954828	0.822272216
131	0.42930368	0.822272216
132	0.4289301704	0.8233970754
133	0.4287496368	0.8245219348
134	0.4286304819	0.8233970754
135	0.428475692	0.8245219348
136	0.4280297226	0.8233970754
137	0.4278541091	0.822272216
138	0.4276881873	0.8233970754
139	0.4274090817	0.8233970754
140	0.4271443755	0.8233970754
141	0.426911041	0.8245219348
142	0.4266255287	0.8245219348
143	0.4260581273	0.8233970754
144	0.4260179739	0.8245219348
145	0.4258576585	0.8233970754
146	0.4257215354	0.8245219348
147	0.4256514116	0.8245219348
148	0.4254650191	0.8245219348
149	0.4250919911	0.8233970754
150	0.4245797842	0.8233970754
151	0.4244911789	0.8233970754
152	0.4239433362	0.822272216
153	0.4237764221	0.822272216
154	0.4236245703	0.822272216
155	0.423538163	0.8211473566
156	0.4229784798	0.8233970754
157	0.4228746508	0.8233970754
158	0.422788639	0.822272216
159	0.4226049516	0.822272216
160	0.4220587496	0.8245219348
161	0.421625478	0.8233970754
162	0.4214512844	0.8233970754
163	0.421365211	0.8245219348
164	0.4212456963	0.8245219348
165	0.4211909145	0.8233970754
166	0.4211312407	0.8245219348
167	0.4210752923	0.8245219348
168	0.4209683965	0.8245219348
169	0.4208641022	0.8245219348
170	0.4205448429	0.8245219348
171	0.4204534339	0.8245219348
172	0.4203234787	0.8245219348
173	0.4202465057	0.8256467942
174	0.4198671443	0.8256467942
175	0.4197881087	0.8256467942
176	0.4197223322	0.8256467942
177	0.4196545	0.8267716535
178	0.4195773161	0.8256467942
179	0.4192399608	0.8245219348
180	0.4190503413	0.8256467942
181	0.4187766677	0.8245219348
182	0.4185464349	0.8256467942
183	0.4182871154	0.8256467942
184	0.4180667562	0.8245219348
185	0.418042854	0.8245219348
186	0.4180094363	0.8245219348
187	0.4179100394	0.8245219348
188	0.4171627775	0.8245219348
189	0.4167249994	0.8256467942
190	0.4166030853	0.8256467942
191	0.4165948902	0.8256467942
192	0.416387699	0.8256467942
193	0.4163181209	0.8256467942
194	0.4161527844	0.8256467942
195	0.4161417331	0.8256467942
196	0.4161149212	0.8256467942
197	0.4160045263	0.8256467942
198	0.4156512078	0.8256467942
199	0.4151581466	0.8256467942
200	0.4150737097	0.8256467942
201	0.4150193294	0.8256467942
202	0.4148004743	0.8267716535
203	0.4147760943	0.8267716535
204	0.4147198447	0.8267716535
205	0.4146290728	0.8267716535
206	0.4144967496	0.8267716535
207	0.4144439846	0.8267716535
208	0.414261873	0.8267716535
209	0.4141031685	0.8267716535
210	0.4140603677	0.8256467942
211	0.413842816	0.8256467942
212	0.4137950063	0.8267716535
213	0.4137378782	0.8267716535
214	0.4135557832	0.8256467942
215	0.4134021314	0.8256467942
216	0.4134003051	0.8256467942
217	0.4133737535	0.8256467942
218	0.4133278559	0.8267716535
219	0.4133021237	0.8256467942
220	0.4131695912	0.8256467942
221	0.4131238379	0.8245219348
222	0.4130939807	0.8256467942
223	0.41303687	0.8256467942
224	0.4128919683	0.8256467942
225	0.4127029777	0.8256467942
226	0.4125637079	0.8256467942
227	0.4124700132	0.8256467942
228	0.4124211925	0.8256467942
229	0.4122963711	0.8256467942
230	0.4122590773	0.8256467942
231	0.4116727936	0.8256467942
232	0.4115549295	0.8256467942
233	0.4115382198	0.8256467942
234	0.4112396493	0.8245219348
235	0.4111351343	0.8233970754
236	0.411103406	0.8245219348
237	0.4106684676	0.8233970754
238	0.4103230706	0.822272216
239	0.4102986808	0.8233970754
240	0.4101530557	0.822272216
241	0.410120691	0.8233970754
242	0.410080435	0.8233970754
243	0.4100638728	0.8233970754
244	0.4100198325	0.822272216
245	0.4099056939	0.8233970754
246	0.4098752479	0.8233970754
247	0.4098118814	0.8233970754
248	0.409632214	0.8233970754
249	0.4095198304	0.8233970754
250	0.4094284665	0.8233970754
251	0.4093447845	0.8233970754
252	0.4092941657	0.8233970754
253	0.4092156425	0.8233970754
254	0.4091846584	0.8245219348
255	0.4091501074	0.8245219348
256	0.4088857188	0.8245219348
257	0.4085645379	0.8245219348
258	0.4085364427	0.8245219348
259	0.4085348327	0.8245219348
260	0.4083981452	0.8256467942
261	0.4082850679	0.8256467942
262	0.4080872657	0.8267716535
263	0.4080088133	0.8267716535
264	0.4078357998	0.8267716535
265	0.4078309999	0.8267716535
266	0.4078280775	0.8267716535
267	0.4078203326	0.8278965129
268	0.4077132312	0.8278965129
269	0.4074852893	0.8267716535
270	0.4074668917	0.8267716535
271	0.4073871257	0.8267716535
272	0.4073291325	0.8278965129
273	0.4072092643	0.8290213723
274	0.4069883711	0.8290213723
275	0.4069751362	0.8290213723
276	0.406525491	0.8290213723
277	0.4065245204	0.8290213723
278	0.4064404503	0.8290213723
279	0.406417577	0.8290213723
280	0.4062348452	0.8290213723
281	0.4060441235	0.8290213723
282	0.4060363307	0.8278965129
283	0.4059853866	0.8278965129
284	0.4058392091	0.8267716535
285	0.405833634	0.8267716535
286	0.4055396082	0.8278965129
287	0.405368052	0.8267716535
288	0.4048760948	0.8278965129
289	0.4047241573	0.8278965129
290	0.4047012694	0.8278965129
291	0.404681261	0.8278965129
292	0.4046625025	0.8278965129
293	0.4044748505	0.8278965129
294	0.4044562004	0.8267716535
295	0.4044036983	0.8267716535
296	0.4043195481	0.8267716535
297	0.4042574508	0.8267716535
298	0.4042243062	0.8267716535
299	0.404209432	0.8267716535
300	0.4041962952	0.8267716535
301	0.4039430567	0.8267716535
302	0.4036249105	0.8267716535
303	0.4035705716	0.8256467942
304	0.403451664	0.8233970754
305	0.403336461	0.8233970754
306	0.4030902419	0.8245219348
307	0.4029930506	0.8245219348
308	0.4027301058	0.8267716535
309	0.402703122	0.8256467942
310	0.402701429	0.8256467942
311	0.4024043998	0.8256467942
312	0.4024027748	0.8256467942
313	0.4024021364	0.8256467942
314	0.4023779079	0.8256467942
315	0.4023264203	0.8256467942
316	0.402136387	0.8256467942
317	0.4020630094	0.8256467942
318	0.4020630034	0.8256467942
319	0.4020603114	0.8256467942
320	0.4019798562	0.8245219348
321	0.4015911793	0.8256467942
322	0.4013982838	0.8256467942
323	0.4013754293	0.8256467942
324	0.4011025743	0.8256467942
325	0.4010901527	0.8256467942
326	0.401059707	0.8245219348
327	0.4010122332	0.8245219348
328	0.4010122332	0.8245219348
329	0.4008021009	0.8256467942
330	0.4007748413	0.8233970754
331	0.4006010751	0.8233970754
332	0.4005363855	0.8233970754
333	0.4003925529	0.8245219348
334	0.4003831712	0.8245219348
335	0.4003584437	0.8245219348
336	0.4002643112	0.8245219348
337	0.4002634285	0.8245219348
338	0.4002484425	0.8245219348
339	0.4002476281	0.8245219348
340	0.4002394628	0.8245219348
341	0.4001219589	0.8256467942
342	0.3998889359	0.8256467942
343	0.3998591142	0.8256467942
344	0.3997578296	0.8256467942
345	0.3997110348	0.8256467942
346	0.3995904949	0.8256467942
347	0.3995231518	0.8267716535
348	0.3994344199	0.8267716535
349	0.3994203352	0.8267716535
350	0.3992070801	0.8267716535
351	0.3991921373	0.8267716535
352	0.3991183517	0.8267716535
353	0.3989245291	0.8267716535
354	0.3988903258	0.8256467942
355	0.3987123915	0.8256467942
356	0.3987123549	0.8256467942
357	0.39861892	0.8256467942
358	0.3983961459	0.8256467942
359	0.3983521111	0.8256467942
360	0.3983258476	0.8256467942
361	0.3982751071	0.8256467942
362	0.398141236	0.8267716535
363	0.3981218652	0.8267716535
364	0.398121203	0.8267716535
365	0.3980935023	0.8278965129
366	0.3980803428	0.8267716535
367	0.3980617889	0.8267716535
368	0.3980005105	0.8267716535
369	0.3978779948	0.8267716535
370	0.3977513003	0.8278965129
371	0.3976688237	0.8267716535
372	0.3976376933	0.8278965129
373	0.3973956754	0.8278965129
374	0.3973729638	0.8278965129
375	0.3973377428	0.8278965129
376	0.3973160892	0.8278965129
377	0.3972019699	0.8278965129
378	0.3971905092	0.8278965129
379	0.3971142448	0.8290213723
380	0.3971033741	0.8290213723
381	0.3971021636	0.8290213723
382	0.3969821764	0.8290213723
383	0.3968855275	0.8290213723
384	0.3968803785	0.8290213723
385	0.3967314302	0.8278965129
386	0.3967070469	0.8290213723
387	0.3965973196	0.8290213723
388	0.3965760248	0.8290213723
389	0.3965744655	0.8290213723
390	0.3964176501	0.8290213723
391	0.3963861007	0.8301462317
392	0.3963817239	0.8301462317
393	0.396379878	0.8301462317
394	0.3963454735	0.8301462317
395	0.3963366746	0.8312710911
396	0.396336348	0.8312710911
397	0.3959775385	0.8323959505
398	0.3959629541	0.8323959505
399	0.3959097011	0.8323959505
400	0.3959086349	0.8323959505
401	0.3957358551	0.8323959505
402	0.3956199849	0.8323959505
403	0.3955806803	0.8323959505
404	0.3954843422	0.8323959505
405	0.3954643479	0.8323959505
406	0.3953701403	0.8312710911
407	0.3953368371	0.8312710911
408	0.3953282165	0.8323959505
409	0.3953279553	0.8323959505
410	0.3951987399	0.8323959505
411	0.3951980464	0.8323959505
412	0.3949707486	0.8323959505
413	0.3949037843	0.8335208099
414	0.3949005523	0.8335208099
415	0.3946430795	0.8323959505
416	0.3946288189	0.8335208099
417	0.3946063698	0.8335208099
418	0.3946042554	0.8335208099
419	0.394602209	0.8335208099
420	0.394592269	0.8335208099
421	0.3943770146	0.8335208099
422	0.3943635016	0.8335208099
423	0.3942633068	0.8335208099
424	0.3940224955	0.8335208099
425	0.3939387029	0.8335208099
426	0.3937962433	0.8323959505
427	0.3937409455	0.8323959505
428	0.3937409439	0.8323959505
429	0.3937163696	0.8323959505
430	0.393714113	0.8323959505
431	0.3936039675	0.8323959505
432	0.3935871103	0.8323959505
433	0.3935539636	0.8312710911
434	0.3933298164	0.8312710911
435	0.3932414163	0.8323959505
436	0.3932330295	0.8312710911
437	0.3929675186	0.8323959505
438	0.3928975533	0.8312710911
439	0.392881782	0.8312710911
440	0.3928180937	0.8323959505
441	0.3926351742	0.8312710911
442	0.3926346709	0.8312710911
443	0.3926221602	0.8312710911
444	0.3925620359	0.8312710911
445	0.3925439404	0.8312710911
446	0.3923408316	0.8312710911
447	0.3923405267	0.8312710911
448	0.3920873162	0.8312710911
449	0.3920287945	0.8312710911
450	0.3919955198	0.8312710911
451	0.391930221	0.8323959505
452	0.3916311117	0.8323959505
453	0.3915252488	0.8312710911
454	0.3912978574	0.8312710911
455	0.3911949781	0.8323959505
456	0.3910738911	0.8323959505
457	0.3910314527	0.8323959505
458	0.3910215664	0.8323959505
459	0.3910151399	0.8323959505
460	0.3909747524	0.8312710911
461	0.3908357101	0.8323959505
462	0.3906781972	0.8346456693
463	0.3904783128	0.8346456693
464	0.3901947521	0.8346456693
465	0.3901264792	0.8346456693
466	0.3899561534	0.8323959505
467	0.3897784323	0.8335208099
468	0.3895133213	0.8323959505
469	0.3892601128	0.8335208099
470	0.3891091362	0.8323959505
471	0.3889829769	0.8335208099
472	0.3889731526	0.8335208099
473	0.3889350583	0.8335208099
474	0.3887277495	0.8357705287
475	0.3886552488	0.8346456693
476	0.3886547117	0.8346456693
477	0.3886370562	0.8346456693
478	0.3886262454	0.8346456693
479	0.3883698021	0.8346456693
480	0.3881944673	0.8346456693
481	0.3881939777	0.8346456693
482	0.3881218593	0.8346456693
483	0.3879471238	0.8346456693
484	0.3878862466	0.8357705287
485	0.387870241	0.8357705287
486	0.387719829	0.8357705287
487	0.3875043077	0.8357705287
488	0.3873857324	0.8346456693
489	0.3873688986	0.8346456693
490	0.3873242509	0.8346456693
491	0.3872297957	0.8357705287
492	0.3871711177	0.8357705287
493	0.3868889499	0.8357705287
494	0.3868303313	0.8357705287
495	0.386714982	0.8357705287
496	0.3866345721	0.8357705287
497	0.3865820295	0.8357705287
498	0.3864072688	0.8357705287
499	0.3863896825	0.8357705287
500	0.3863703359	0.8357705287
501	0.3860569228	0.8357705287
