iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
0	231	312	231	340	231	340	312
1	231	312	231	340	231	340	312
2	218	269	218	340	218	340	269
3	218	269	218	340	218	340	269
4	218	269	218	340	218	340	269
5	218	269	218	340	218	340	269
6	218	269	218	340	218	340	269
7	218	269	218	340	218	340	269
8	218	269	218	340	218	340	269
9	218	269	218	340	218	340	269
10	208	243	208	340	208	340	243
11	208	243	208	340	208	340	243
12	208	243	208	340	208	340	243
13	206	236	206	340	206	340	236
14	209	244	209	340	209	340	244
15	228	288	228	340	228	340	288
16	228	287	228	340	228	340	287
17	228	288	228	340	228	340	288
18	228	288	228	340	228	340	288
19	227	284	227	340	227	340	284
20	227	284	227	340	227	340	284
21	227	284	227	340	227	340	284
22	224	278	224	340	224	340	278
23	224	278	224	340	224	340	278
24	224	278	224	340	224	340	278
25	228	285	228	340	228	340	285
26	225	279	225	340	225	340	279
27	225	280	225	340	225	340	280
28	227	284	227	340	227	340	284
29	224	279	224	340	224	340	279
30	224	279	224	340	224	340	279
31	224	279	224	340	224	340	279
32	224	279	224	340	224	340	279
33	224	279	224	340	224	340	279
34	225	280	225	340	225	340	280
35	227	283	227	340	227	340	283
36	227	284	227	340	227	340	284
37	227	284	227	340	227	340	284
38	224	279	224	340	224	340	279
39	224	278	224	340	224	340	278
40	224	279	224	340	224	340	279
41	224	279	224	340	224	340	279
42	224	279	224	340	224	340	279
43	225	280	225	340	225	340	280
44	228	285	228	340	228	340	285
45	225	280	225	340	225	340	280
46	225	280	225	340	225	340	280
47	225	280	225	340	225	340	280
48	225	280	225	340	225	340	280
49	225	280	225	340	225	340	280
50	225	280	225	340	225	340	280
51	225	280	225	340	225	340	280
52	225	280	225	340	225	340	280
53	225	280	225	340	225	340	280
54	225	280	225	340	225	340	280
55	225	280	225	340	225	340	280
56	225	280	225	340	225	340	280
57	225	280	225	340	225	340	280
58	225	280	225	340	225	340	280
59	225	280	225	340	225	340	280
60	225	280	225	340	225	340	280
61	225	280	225	340	225	340	280
62	221	273	221	340	221	340	273
63	225	280	225	340	225	340	280
64	221	273	221	340	221	340	273
65	221	273	221	340	221	340	273
66	221	273	221	340	221	340	273
67	221	273	221	340	221	340	273
68	221	273	221	340	221	340	273
69	221	273	221	340	221	340	273
70	221	273	221	340	221	340	273
71	221	273	221	340	221	340	273
72	221	273	221	340	221	340	273
73	221	273	221	340	221	340	273
74	213	256	213	340	213	340	256
75	213	256	213	340	213	340	256
76	218	269	218	340	218	340	269
77	213	256	213	340	213	340	256
78	213	256	213	340	213	340	256
79	213	256	213	340	213	340	256
80	215	259	215	340	215	340	259
81	215	259	215	340	215	340	259
82	215	259	215	340	215	340	259
83	216	259	216	340	216	340	259
84	213	246	213	340	213	340	246
85	214	247	214	340	214	340	247
86	214	244	214	340	214	340	244
87	212	240	212	340	212	340	240
88	215	245	215	340	215	340	245
89	212	240	212	340	212	340	240
90	213	241	213	340	213	340	241
91	217	248	217	340	217	340	248
92	214	243	214	340	214	340	243
93	217	248	217	340	217	340	248
94	217	248	217	340	217	340	248
95	218	249	218	340	218	340	249
96	218	249	218	340	218	340	249
97	219	250	219	340	219	340	250
98	219	250	219	340	219	340	250
99	219	250	219	340	219	340	250
100	222	253	222	340	222	340	253
101	222	253	222	340	222	340	253
102	222	253	222	340	222	340	253
103	222	252	222	340	222	340	252
104	220	249	220	340	220	340	249
105	219	247	219	340	219	340	247
106	220	249	220	340	220	340	249
107	220	249	220	340	220	340	249
108	219	248	219	340	219	340	248
109	220	249	220	340	220	340	249
110	220	249	220	340	220	340	249
111	220	249	220	340	220	340	249
112	222	252	222	340	222	340	252
113	220	249	220	340	220	340	249
114	220	249	220	340	220	340	249
115	220	249	220	340	220	340	249
116	223	253	223	340	223	340	253
117	221	250	221	340	221	340	250
118	221	250	221	340	221	340	250
119	221	250	221	340	221	340	250
120	223	253	223	340	223	340	253
121	223	253	223	340	223	340	253
122	223	253	223	340	223	340	253
123	221	250	221	340	221	340	250
124	221	250	221	340	221	340	250
125	221	250	221	340	221	340	250
126	221	250	221	340	221	340	250
127	221	250	221	340	221	340	250
128	221	250	221	340	221	340	250
129	221	250	221	340	221	340	250
130	221	250	221	340	221	340	250
131	221	250	221	340	221	340	250
132	221	250	221	340	221	340	250
133	221	250	221	340	221	340	250
134	221	250	221	340	221	340	250
135	221	250	221	340	221	340	250
136	220	249	220	340	220	340	249
137	220	249	220	340	220	340	249
138	220	249	220	340	220	340	249
139	220	249	220	340	220	340	249
140	220	249	220	340	220	340	249
141	221	250	221	340	221	340	250
142	220	249	220	340	220	340	249
143	221	250	221	340	221	340	250
144	221	250	221	340	221	340	250
145	221	250	221	340	221	340	250
146	221	250	221	340	221	340	250
147	221	250	221	340	221	340	250
148	221	250	221	340	221	340	250
149	222	251	222	340	222	340	251
150	221	250	221	340	221	340	250
151	220	249	220	340	220	340	249
152	220	249	220	340	220	340	249
153	221	250	221	340	221	340	250
154	221	250	221	340	221	340	250
155	220	248	220	340	220	340	248
156	221	250	221	340	221	340	250
157	221	250	221	340	221	340	250
158	220	248	220	340	220	340	248
159	220	248	220	340	220	340	248
160	221	250	221	340	221	340	250
161	221	250	221	340	221	340	250
162	221	250	221	340	221	340	250
163	221	250	221	340	221	340	250
164	222	251	222	340	222	340	251
165	221	250	221	340	221	340	250
166	221	250	221	340	221	340	250
167	221	250	221	340	221	340	250
168	221	250	221	340	221	340	250
169	221	250	221	340	221	340	250
170	221	250	221	340	221	340	250
171	221	250	221	340	221	340	250
172	221	250	221	340	221	340	250
173	222	251	222	340	222	340	251
174	222	251	222	340	222	340	251
175	222	251	222	340	222	340	251
176	224	253	224	340	224	340	253
177	224	253	224	340	224	340	253
178	224	253	224	340	224	340	253
179	221	250	221	340	221	340	250
180	222	251	222	340	222	340	251
181	224	253	224	340	224	340	253
182	224	253	224	340	224	340	253
183	224	253	224	340	224	340	253
184	224	253	224	340	224	340	253
185	223	252	223	340	223	340	252
186	223	252	223	340	223	340	252
187	223	252	223	340	223	340	252
188	223	252	223	340	223	340	252
189	223	252	223	340	223	340	252
190	224	253	224	340	224	340	253
191	224	253	224	340	224	340	253
192	224	253	224	340	224	340	253
193	224	253	224	340	224	340	253
194	224	253	224	340	224	340	253
195	224	253	224	340	224	340	253
196	224	253	224	340	224	340	253
197	223	251	223	340	223	340	251
198	223	251	223	340	223	340	251
199	223	251	223	340	223	340	251
200	224	253	224	340	224	340	253
201	224	253	224	340	224	340	253
202	224	253	224	340	224	340	253
203	224	253	224	340	224	340	253
204	224	253	224	340	224	340	253
205	224	253	224	340	224	340	253
206	225	254	225	340	225	340	254
207	224	253	224	340	224	340	253
208	225	254	225	340	225	340	254
209	226	255	226	340	226	340	255
210	225	254	225	340	225	340	254
211	225	254	225	340	225	340	254
212	226	255	226	340	226	340	255
213	226	255	226	340	226	340	255
214	225	254	225	340	225	340	254
215	225	254	225	340	225	340	254
216	225	254	225	340	225	340	254
217	225	254	225	340	225	340	254
218	225	254	225	340	225	340	254
219	225	254	225	340	225	340	254
220	225	254	225	340	225	340	254
221	225	254	225	340	225	340	254
222	225	254	225	340	225	340	254
223	225	254	225	340	225	340	254
224	225	254	225	340	225	340	254
225	225	254	225	340	225	340	254
226	225	254	225	340	225	340	254
227	225	254	225	340	225	340	254
228	225	254	225	340	225	340	254
229	225	254	225	340	225	340	254
230	225	254	225	340	225	340	254
231	225	254	225	340	225	340	254
232	225	254	225	340	225	340	254
233	225	254	225	340	225	340	254
234	225	254	225	340	225	340	254
235	225	254	225	340	225	340	254
236	225	254	225	340	225	340	254
237	225	254	225	340	225	340	254
238	225	254	225	340	225	340	254
239	225	254	225	340	225	340	254
240	225	254	225	340	225	340	254
241	225	254	225	340	225	340	254
242	225	254	225	340	225	340	254
243	225	254	225	340	225	340	254
244	225	254	225	340	225	340	254
245	225	254	225	340	225	340	254
246	225	254	225	340	225	340	254
247	225	254	225	340	225	340	254
248	225	254	225	340	225	340	254
249	225	254	225	340	225	340	254
250	225	254	225	340	225	340	254
251	225	254	225	340	225	340	254
252	225	253	225	340	225	340	253
253	226	255	226	340	226	340	255
254	225	253	225	340	225	340	253
255	227	255	227	340	227	340	255
256	226	255	226	340	226	340	255
257	226	255	226	340	226	340	255
258	226	255	226	340	226	340	255
259	225	253	225	340	225	340	253
260	227	255	227	340	227	340	255
261	228	257	228	340	228	340	257
262	228	256	228	340	228	340	256
263	228	256	228	340	228	340	256
264	229	258	229	340	229	340	258
265	229	258	229	340	229	340	258
266	229	258	229	340	229	340	258
267	229	258	229	340	229	340	258
268	229	258	229	340	229	340	258
269	226	255	226	340	226	340	255
270	226	255	226	340	226	340	255
271	228	257	228	340	228	340	257
272	228	257	228	340	228	340	257
273	229	258	229	340	229	340	258
274	230	259	230	340	230	340	259
275	229	258	229	340	229	340	258
276	230	259	230	340	230	340	259
277	230	259	230	340	230	340	259
278	230	259	230	340	230	340	259
279	230	259	230	340	230	340	259
280	230	259	230	340	230	340	259
281	230	259	230	340	230	340	259
282	230	259	230	340	230	340	259
283	230	259	230	340	230	340	259
284	230	259	230	340	230	340	259
285	230	259	230	340	230	340	259
286	230	259	230	340	230	340	259
287	230	259	230	340	230	340	259
288	231	260	231	340	231	340	260
289	231	260	231	340	231	340	260
290	233	262	233	340	233	340	262
291	233	262	233	340	233	340	262
292	233	262	233	340	233	340	262
293	233	262	233	340	233	340	262
294	233	262	233	340	233	340	262
295	233	262	233	340	233	340	262
296	233	262	233	340	233	340	262
297	233	262	233	340	233	340	262
298	233	262	233	340	233	340	262
299	233	262	233	340	233	340	262
300	233	262	233	340	233	340	262
301	233	262	233	340	233	340	262
302	233	262	233	340	233	340	262
303	233	262	233	340	233	340	262
304	233	262	233	340	233	340	262
305	233	262	233	340	233	340	262
306	233	262	233	340	233	340	262
307	233	262	233	340	233	340	262
308	236	265	236	340	236	340	265
309	236	265	236	340	236	340	265
310	236	265	236	340	236	340	265
311	236	265	236	340	236	340	265
312	236	265	236	340	236	340	265
313	236	265	236	340	236	340	265
314	236	265	236	340	236	340	265
315	236	265	236	340	236	340	265
316	236	265	236	340	236	340	265
