iter	Passed	Remaining
0	397	397122
1	538	268659
2	777	258422
3	959	238900
4	1194	237629
5	1317	218183
6	1389	197067
7	1434	177851
8	1526	168056
9	1611	159583
10	1732	155729
11	1831	150802
12	1879	142697
13	1976	139232
14	2075	136281
15	2174	133732
16	2228	128832
17	2255	123069
18	2326	120120
19	2431	119125
20	2515	117261
21	2645	117623
22	2733	116101
23	2786	113335
24	2861	111590
25	2890	108297
26	2946	106170
27	3050	105888
28	3139	105135
29	3219	104094
30	3279	102518
31	3351	101396
32	3387	99262
33	3459	98285
34	3532	97401
35	3607	96587
36	3663	95354
37	3737	94628
38	3801	93666
39	3880	93130
40	3937	92087
41	3978	90754
42	4013	89317
43	4112	89361
44	4265	90532
45	4330	89818
46	4406	89347
47	4470	88666
48	4561	88539
49	4672	88771
50	4727	87971
51	4901	89357
52	4978	88948
53	5067	88781
54	5126	88090
55	5220	88004
56	5315	87944
57	5403	87757
58	5486	87508
59	5551	86973
60	5694	87658
61	5806	87843
62	5898	87721
63	5917	86549
64	5939	85437
65	5971	84502
66	6040	84120
67	6158	84409
68	6235	84137
69	6280	83447
70	6351	83107
71	6400	82501
72	6447	81880
73	6514	81524
74	6553	80822
75	6667	81058
76	6694	80245
77	6763	79952
78	6816	79465
79	6846	78730
80	6877	78028
81	6902	77278
82	6943	76713
83	7001	76349
84	7054	75940
85	7098	75437
86	7165	75197
87	7225	74887
88	7271	74434
89	7326	74080
90	7385	73777
91	7462	73649
92	7498	73133
93	7536	72642
94	7556	71988
95	7595	71522
96	7641	71135
97	7675	70644
98	7716	70224
99	7762	69861
100	7816	69576
101	7885	69423
102	7968	69391
103	8022	69114
104	8073	68819
105	8150	68741
106	8187	68329
107	8206	67776
108	8240	67357
109	8296	67124
110	8341	66804
111	8364	66315
112	8396	65911
113	8445	65637
114	8510	65492
115	8593	65489
116	8652	65302
117	8715	65146
118	8762	64871
119	8808	64597
120	8837	64200
121	8900	64053
122	8930	63673
123	8983	63461
124	9036	63252
125	9064	62873
126	9096	62531
127	9154	62366
128	9197	62100
129	9232	61783
130	9293	61646
131	9331	61362
132	9379	61141
133	9445	61041
134	9473	60699
135	9514	60445
136	9582	60365
137	9604	59990
138	9629	59647
139	9655	59313
140	9702	59106
141	9755	58947
142	9818	58840
143	9896	58829
144	9924	58518
145	9955	58233
146	9998	58019
147	10024	57706
148	10068	57508
149	10248	58074
150	10321	58032
151	10346	57720
152	10422	57698
153	10472	57532
154	10511	57307
155	10532	56982
156	10588	56854
157	10635	56679
158	10668	56431
159	10716	56261
160	10781	56181
161	10865	56203
162	10941	56183
163	10975	55946
164	11079	56069
165	11177	56158
166	11246	56097
167	11300	55966
168	11353	55828
169	11408	55702
170	11550	55994
171	11594	55816
172	11647	55681
173	11666	55382
174	11729	55296
175	11769	55102
176	11792	54833
177	11840	54677
178	11873	54457
179	11940	54397
180	11987	54239
181	12048	54150
182	12085	53957
183	12163	53943
184	12244	53942
185	12275	53721
186	12306	53502
187	12326	53241
188	12450	53425
189	12551	53509
190	12601	53374
191	12625	53131
192	12707	53132
193	12743	52944
194	12798	52833
195	12828	52621
196	12854	52395
197	12897	52239
198	12961	52170
199	13060	52240
200	13098	52066
201	13126	51854
202	13161	51672
203	13179	51424
204	13199	51187
205	13252	51081
206	13297	50940
207	13330	50759
208	13374	50618
209	13404	50427
210	13429	50217
211	13467	50057
212	13495	49865
213	13538	49723
214	13572	49553
215	13611	49403
216	13634	49196
217	13657	48990
218	13720	48931
219	13755	48770
220	13837	48774
221	13860	48573
222	13882	48371
223	13978	48425
224	14043	48373
225	14116	48347
226	14196	48342
227	14273	48327
228	14321	48216
229	14370	48108
230	14392	47912
231	14453	47847
232	14490	47701
233	14516	47519
234	14590	47498
235	14662	47466
236	14698	47321
237	14776	47309
238	14862	47324
239	14899	47181
240	14984	47193
241	15016	47034
242	15068	46940
243	15109	46814
244	15141	46660
245	15190	46559
246	15256	46510
247	15390	46666
248	15430	46538
249	15529	46587
250	15609	46580
251	15670	46513
252	15717	46406
253	15771	46320
254	15937	46562
255	15976	46433
256	16060	46431
257	16108	46326
258	16155	46220
259	16202	46114
260	16333	46247
261	16438	46303
262	16521	46298
